px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.0112384	-0.0181134	0.00379885	-0.0187093	-0.016093	0	0	0	0	0	0	0.374272
1.21535	-0.0102171	1.66898	0.0114022	0.00608453	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	24.3189
1.50391	0.0162715	2.17913	0.0563557	0.0245283	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	9.8456
3.83806	-0.128181	2.53706	-0.132964	-0.112782	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.01571
3.99116	0.0664273	2.57416	0.00212341	-0.0373263	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	6.66908
6.80378	0.401018	2.97734	0.210953	0.157398	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.40254
6.61909	0.429166	2.63611	0.235196	0.188114	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	3.666
9.08583	0.618911	2.50553	0.0632642	-0.0790173	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.706025
9.01065	0.682773	2.50236	0.113726	-0.0375431	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.5687
11.5372	1.637	2.78661	0.510008	0.282462	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.35943
11.485	1.60101	2.71259	0.492923	0.272322	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.609501
13.628	2.35749	2.27508	0.412825	0.0337899	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1.57391
13.645	2.32939	2.44552	0.383527	-0.000430763	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.44038
16.5346	2.88696	3.13414	0.0238662	-0.272342	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	4.03339
16.4088	2.85768	2.89253	0.027498	-0.278059	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.77835
19.0332	3.67511	2.67226	0.333639	0.133564	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1.6601
19.1803	3.72958	2.70017	0.38983	0.197999	19.363	3.87122	18.923	3.74161	2.61382	0.95648	3.49225
21.3542	4.74753	2.51651	0.523789	0.156325	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.238152
21.4912	4.76832	2.79564	0.478132	0.100044	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	2.03403
24.0635	5.58091	2.79568	0.250337	-0.139076	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.486445
24.3162	5.64138	3.10465	0.199062	-0.186003	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	7.65435
26.6812	6.94592	2.61705	0.511262	0.167953	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	2.7633
26.6495	6.91073	2.82156	0.453251	0.076134	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	1.94328
29.5143	8.06558	3.3037	0.335203	-0.0814877	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1.77089
29.501	8.06342	3.17059	0.339672	-0.0753283	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.378013
31.9688	9.86664	3.05051	0.726428	0.259746	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.051
31.8621	9.81615	2.97766	0.697708	0.214017	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	2.06764
34.6003	10.7378	2.72036	0.214576	-0.304242	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.57718
34.8343	10.8077	3.00863	0.140417	-0.369369	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	6.35039
37.2206	12.0485	2.44855	0.451476	0.116544	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	4.37005
37.3978	12.0886	2.87507	0.457762	0.0963708	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	3.85947
40.2559	13.4356	3.39399	0.436436	-0.00226455	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1.83644
40.1196	13.3975	3.12509	0.46146	0.0256954	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	2.14498
42.7592	14.8248	3.18324	0.510793	0.0419626	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.0233108
42.7087	14.8098	3.15606	0.513339	0.0400261	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.436444
45.3355	16.5378	3.33705	0.614277	0.0809431	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.218946
45.4432	16.5797	3.35995	0.618999	0.105115	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	2.3675
48.2034	17.3451	2.75204	0.232335	-0.239964	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	3.04231
48.1234	17.3289	2.73006	0.260051	-0.20969	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.979148
50.5998	19.0255	2.90754	0.780394	0.34093	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	2.72202
50.5731	18.9873	2.98979	0.723564	0.257374	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.720547
53.6766	19.9214	2.94859	0.0750352	-0.422934	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	4.16074
53.6053	19.8956	2.85803	0.0961144	-0.406017	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.615334
56.0744	21.0427	2.46259	0.460758	0.159175	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	3.76762
56.0038	20.9898	2.55602	0.406169	0.0930578	55.867	20.985	55.9669	20.9874	2.56561	0.978022	1.6684
58.612	21.7747	2.88525	0.24755	-0.0979352	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.999946
58.6282	21.7808	2.89126	0.245169	-0.10176	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0600314
60.9198	22.7855	2.57223	0.413902	0.0840766	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.947548
60.8518	22.7513	2.59531	0.393083	0.0597524	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	1.21997
63.3577	23.4103	2.73082	0.209641	-0.117567	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.375417
63.5454	23.4648	2.7784	0.172724	-0.169504	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	6.486
66.3072	23.9835	2.99783	0.165192	-0.0470361	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.449587
66.1049	23.9048	2.55102	0.105871	-0.117273	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	5.01419
68.2907	24.3504	2.32982	0.187929	0.0210008	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.437178
68.484	24.4252	2.55128	0.238086	0.0635876	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	4.80715
70.8304	24.8905	2.5304	0.208301	-0.00302719	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.041569
70.7526	24.8599	2.3477	0.194838	-0.0215069	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.768216
72.9126	24.7366	2.20623	-0.145688	-0.249667	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.583376
73.021	24.777	2.35254	-0.125648	-0.229873	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	1.49011
75.0317	25.2198	1.96638	0.225316	0.167625	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	2.03602
75.0046	25.2026	2.00228	0.208891	0.154154	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.230816
77.1079	24.9644	2.07584	-0.212033	-0.252249	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.4184
77.1588	24.9651	2.05282	-0.248942	-0.308326	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.658367
79.0996	24.9984	1.9027	0.0258444	0.0942841	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.52412
79.1205	25.0096	1.87988	0.0369177	0.100467	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.122322
80.8235	24.8849	1.78669	-0.0557469	-0.035024	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.244205
80.9388	24.912	1.7789	-0.0617257	-0.0669639	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	2.70064
82.6179	24.6437	1.81693	-0.195764	-0.110868	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0236673
82.5867	24.6311	1.73763	-0.221231	-0.141154	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.144762
84.1695	24.5293	1.66215	-0.0498287	0.0685388	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.393044
84.1919	24.5374	1.651	-0.0414362	0.0711761	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.118943
85.6616	23.8481	1.56405	-0.526002	-0.302455	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.33374
85.7875	23.89	1.73287	-0.469228	-0.248162	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	1.86194
86.978	23.4885	1.29077	-0.43407	-0.0813355	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.22629
87.2465	23.5757	1.42361	-0.258868	0.0374836	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	9.30618
88.7893	22.8157	1.79744	-0.528191	-0.163262	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.991853
88.6477	22.7855	1.68346	-0.577606	-0.184287	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	2.56561
89.5548	22.2672	1.0881	-0.626909	-0.13327	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	1.91325
89.679	22.3032	1.18333	-0.531225	-0.0589279	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	1.75589
90.5255	21.6701	1.12233	-0.656729	-0.106425	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0509874
90.7152	21.7197	1.30295	-0.47301	0.0375145	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	4.02921
91.7262	21.1181	1.26398	-0.497832	-0.00405138	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0298631
91.8931	21.1558	1.30806	-0.423427	0.0118522	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	4.35143
92.8769	20.9312	1.06988	-0.188161	0.147062	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.417266
93.066	20.9855	1.10047	-0.0720564	0.210997	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	5.54751
93.5655	20.2987	0.477815	-0.667848	-0.299032	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	5.5223
93.6863	20.344	0.807289	-0.565188	-0.188891	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	2.64401
95.1666	19.6771	1.80782	-0.173739	0.20613	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	7.6452
94.8547	19.6168	1.35353	-0.609126	-0.107242	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	10.2283
95.5772	19.6308	0.596738	-0.267121	0.120986	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	3.49202
95.6033	19.6194	0.744242	-0.250822	0.14023	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.361451
96.271	19.2078	0.799449	-0.515228	-0.113784	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.683427
96.3728	19.2276	0.931498	-0.440131	-0.0590929	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	1.16538
97.4662	18.7369	1.3654	-0.373153	0.0314414	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.27495
97.4334	18.7237	1.24634	-0.448708	-0.0412384	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.347794
98.2428	18.3585	0.970787	-0.414799	-0.00888742	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.438425
98.2967	18.3711	0.976511	-0.386959	0.000390296	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.486275
99.0515	17.4188	1.15279	-1.10537	-0.442242	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	1.83929
99.0346	17.4864	1.18674	-0.84232	-0.145132	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	2.50133
99.9592	16.9551	1.08263	-0.499796	0.164982	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.0951
100.16	17.0021	1.08752	-0.315577	0.267803	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	5.65106
101.199	16.559	1.20298	-0.293321	0.111685	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.26073
101.168	16.5507	1.11402	-0.325502	0.0770052	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.151873
102.35	16.3866	1.31358	-0.0060516	0.22931	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.519162
102.182	16.3598	1.0832	-0.0969463	0.164844	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	3.05546
103.035	15.4317	0.944998	-0.985843	-0.466378	103.003	15.353	103.119	15.4967	1.11708	-0.508169	3.62098
102.915	15.4994	0.980466	-0.729885	-0.16596	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	5.58117
104.027	15.2242	1.10173	-0.0518021	0.370713	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	3.24696
103.953	15.1985	1.15432	-0.137879	0.314481	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	1.05925
105.469	14.4932	1.71006	-0.627094	-0.175886	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	3.50102
105.372	14.4861	1.61726	-0.621061	-0.157293	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	1.17606
106.802	14.0202	1.5313	-0.257215	0.17923	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.1208
106.661	13.9889	1.49675	-0.3512	0.117074	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	2.75921
108.07	13.6553	1.56244	-0.127727	0.189068	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0837679
108.098	13.6598	1.58347	-0.116635	0.195728	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.100931
109.537	13.5735	1.56659	0.0476398	0.175444	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.00588727
109.447	13.5614	1.47703	0.0335536	0.166063	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.966157
111.044	12.6443	1.58503	-0.787027	-0.466843	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	3.37467
111.246	12.7266	1.96952	-0.619058	-0.258563	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	5.45981
112.911	12.4306	1.53461	-0.188322	0.190715	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.66166
112.899	12.4079	1.70039	-0.19738	0.191858	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.743669
114.755	12.5312	1.9726	0.279251	0.389322	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.938649
114.809	12.5458	1.95805	0.305602	0.412389	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.58435
116.708	12.1696	1.5747	-0.178465	-0.164239	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	3.60145
116.799	12.2171	1.94667	-0.141146	-0.0931395	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	2.0725
118.903	11.9986	2.27956	-0.0946345	0.0142389	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.824024
118.894	11.9979	2.23806	-0.0993814	0.00817818	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.0394027
120.734	12.2747	1.92607	0.207721	0.205462	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.857795
120.832	12.2794	2.11774	0.213297	0.205823	120.934	12.1905	120.743	12.3289	2.21139	0.128528	1.0241
123.449	12.8045	2.91931	0.205255	0.0391458	123.568	12.8297	122.95	12.5114	2.29835	0.246599	4.48008
123.284	12.7895	2.55734	0.241474	0.0762365	123.142	12.7694	122.95	12.5114	2.29835	0.246599	2.98632
125.014	12.8184	1.69516	0.0608464	-0.086537	124.894	12.7743	125.242	12.8125	2.37624	0.369827	4.96027
125.227	12.8555	2.2722	0.0542405	-0.0846065	125.376	12.9964	125.242	12.8125	2.37624	0.369827	5.87089
127.782	13.3095	2.76115	0.25159	0.120248	127.853	13.3273	127.609	13.2365	2.44434	0.495787	1.90951
127.648	13.2945	2.60612	0.241328	0.111772	127.506	13.153	127.609	13.2365	2.44434	0.495787	2.01788
129.962	13.7086	2.47787	0.192404	0.00270053	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.197481
130.121	13.7189	2.54966	0.17487	-0.0108493	130.334	13.781	130.042	13.7853	2.50232	0.621879	3.72066
132.141	14.502	2.24037	0.408325	0.164318	132.092	14.507	132.53	14.458	2.55028	0.74543	0.926968
132.293	14.5063	2.56757	0.371104	0.108947	132.447	14.3423	132.53	14.458	2.55028	0.74543	2.56284
135.011	15.0451	2.91453	0.101616	-0.173541	135.074	15.0475	135.066	15.2513	2.58865	0.863795	1.56151
135.027	15.0326	2.77186	0.0851606	-0.192293	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.693118
137.572	16.1831	2.70257	0.53432	0.263922	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.72525
137.647	16.1658	2.9488	0.482712	0.176291	137.653	16.5145	137.639	16.1592	2.61821	0.974442	1.0517
140.322	17.0261	2.87844	0.277896	-0.104747	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.697831
140.345	17.0295	2.91779	0.271239	-0.111704	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0692972
142.902	17.9846	2.85471	0.350868	0.0290159	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.207666
142.8	17.9674	2.83182	0.337879	0.00221876	142.626	18.1458	142.868	18.2829	2.65497	1.16346	1.80081
